"iddate","year","idgeo","isoalpha3","fuente","indicator","area","quintile","sex","education_level","age","ethnicity","disability","migration","value","level","se","cv","sample","quality_check"
"year","2011","388008","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Total","Total","Total","0.76362978199166","11675","0.403743515844537","62.1781896361352","8847.41245293052","1"
"year","2011","388009","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Total","Total","Total","0.728554155566145","4524","0.59414460424625","55.0498694642181","3291.69105665858","1"
"year","2011","388010","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Total","Total","Total","0.691957898488627","9989","0.430645946567782","63.5889260342572","6916.55427770629","1"
"year","2011","388011","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Total","Total","Total","0.645654743220334","8664","0.499129762586946","75.7971705602659","5600.12335745367","1"
"year","2011","388012","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Total","Total","Total","0.682743152053702","9041","0.499248099046655","79.6264946722204","6173.69913090508","1"
"year","2011","388013","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Total","Total","Total","0.669564206644838","11839","0.435349637938653","77.4923157361363","7920.61611121269","1"
"year","2011","388014","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Total","Total","Total","0.752271249124019","30603","0.258661737437062","65.6459552556065","22941.5882897135","1"
"year","2011","388001","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Total","Total","Total","0.478100150377366","14353","0.405873063058708","105.182962783917","6857.65909294154","1"
"year","2011","388002","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Total","Total","Total","0.495023105104407","73062","0.199761636007155","131.560211196012","36241.7200473192","1"
"year","2011","388003","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Total","Total","Total","0.38346722058711","13476","0.419985509356548","138.454123434867","5192.77242061101","1"
"year","2011","388004","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Total","Total","Total","0.375536685598088","11215","0.470294076302681","149.899260375345","4248.0763199948","1"
"year","2011","388005","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Total","Total","Total","0.38144696860225","15698","0.377974208906057","134.381100725918","6036.84562815277","1"
"year","2011","388006","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Total","Total","Total","0.389821809544125","24495","0.300278684818165","130.154200480843","9620.40176680452","1"
"year","2011","388007","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Total","Total","Total","0.351667881982879","13525","0.391487498414984","137.607260088638","4780.05431113403","1"
"year","2011","388008","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Total","Total","Total","0.45278546586766","30150","0.283695517290892","118.116641763407","13514.3919477184","1"
"year","2011","388009","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Total","Total","Total","0.406518771993523","12219","0.400328285999254","109.316867696444","4982.60030284122","1"
"year","2011","388010","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Total","Total","Total","0.350368932930836","28721","0.257241331108845","127.502765944971","10106.8203283441","1"
"year","2011","388011","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Total","Total","Total","0.345665474733621","24786","0.286561105437799","137.609815160806","8578.26910127596","1"
"year","2011","388012","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Total","Total","Total","0.38619102246193","25424","0.3103156911251","146.338810780175","9834.90811706678","1"
"year","2011","388013","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Total","Total","Total","0.355937727204418","33982","0.256824899841894","145.647723518862","12092.3816651741","1"
"year","2011","388014","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Total","Total","Total","0.468337337583342","73853","0.183435976666575","116.18439613442","34410.5130694648","1"
"year","2011","country","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Afro","Total","Total","0.226343645818049","223544","0.0821936128070357","189.12428498193","50236.7555861307","1"
"year","2011","country","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Otro","Total","Total","0.252040576029674","16046","0.31995505166473","179.307995702342","3997.07330325597","1"
"year","2011","country","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Afro","Total","Total","0.728307755010424","142873","0.124469289904443","71.451467115344","103567.933502484","1"
"year","2011","country","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Otro","Total","Total","0.728953761298921","11310","0.450298637132749","73.5826931755627","8191.14526754357","1"
"year","2011","country","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Afro","Total","Total","0.423055781837256","366417","0.083066390363859","131.133101379438","153804.689088615","1"
"year","2011","country","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Otro","Total","Total","0.450251677663939","27356","0.309191434923693","126.882819350365","12188.2185707995","1"
"year","2011","country","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Total","Total","Total","0.228129268468028","240301","0.0795487719423566","188.45171615272","54400.4349721371","1"
"year","2011","country","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Total","Total","Total","0.728296072411331","154658","0.119812637638614","71.6273750949109","112096.979146706","1"
"year","2011","country","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Total","Total","Total","0.42498876578593","394959","0.0801284416988051","130.849741145815","166497.414118843","1"
"year","2011","388001","JAM","JAM-IPUMS","pobreza31_PHC","Total","Total","men","Total","Total","Afro","Total","Total","0.67693485490917","15580.0686321855","0.308252952913457","0.455365757395988","21081","1"
"year","2011","388002","JAM","JAM-IPUMS","pobreza31_PHC","Total","Total","men","Total","Total","Afro","Total","Total","0.586284281292089","84547.5778962374","0.129690652780572","0.22120779444189","101782","1"
"year","2011","388003","JAM","JAM-IPUMS","pobreza31_PHC","Total","Total","men","Total","Total","Afro","Total","Total","0.711590339570787","17931.0468819141","0.285385643662052","0.401053285566228","21108","1"
"year","2011","388004","JAM","JAM-IPUMS","pobreza31_PHC","Total","Total","men","Total","Total","Afro","Total","Total","0.716229499368919","15861.8067489862","0.302942008422481","0.422967789918466","17389","1"
"year","2011","388005","JAM","JAM-IPUMS","pobreza31_PHC","Total","Total","men","Total","Total","Afro","Total","Total","0.717721874050811","21463.2255121469","0.260283897259297","0.362652869683711","25281","1"
"year","2011","388006","JAM","JAM-IPUMS","pobreza31_PHC","Total","Total","men","Total","Total","Afro","Total","Total","0.723316372381775","35612.5586174726","0.201612956164193","0.278734125014081","41839","1"
